Loading pytorch/1.13.1-gpu
  Loading requirement: gcc/8.2.0 nvidia/nvhpc-nompi/22.2
    nvidia/cudnn/8.6.0-cuda-11.6 openmpi/4.1.4-cuda-11.6 python/3.10.8-gpu
    nvidia/tensorrt/8.4.3.1-u2
episode: 255/2000, episode end value: 44879.76, duration: 0:00:00.792647
episode: 256/2000, episode end value: 49299.21, duration: 0:00:00.783087
episode: 257/2000, episode end value: 45763.61, duration: 0:00:00.777411
episode: 258/2000, episode end value: 45579.61, duration: 0:00:00.772960
episode: 259/2000, episode end value: 39559.85, duration: 0:00:00.782286
episode: 260/2000, episode end value: 39660.44, duration: 0:00:00.761465
episode: 261/2000, episode end value: 49469.37, duration: 0:00:00.782846
episode: 262/2000, episode end value: 48129.29, duration: 0:00:00.775600
episode: 263/2000, episode end value: 41685.86, duration: 0:00:00.793765
episode: 264/2000, episode end value: 39586.59, duration: 0:00:00.777129
episode: 265/2000, episode end value: 45934.99, duration: 0:00:00.785354
episode: 266/2000, episode end value: 51623.61, duration: 0:00:00.782688
episode: 267/2000, episode end value: 49549.69, duration: 0:00:00.779570
episode: 268/2000, episode end value: 53742.88, duration: 0:00:00.798666
episode: 269/2000, episode end value: 49888.52, duration: 0:00:00.799999
episode: 270/2000, episode end value: 51117.89, duration: 0:00:00.782886
episode: 271/2000, episode end value: 42701.40, duration: 0:00:00.766419
episode: 272/2000, episode end value: 47967.21, duration: 0:00:00.783109
episode: 273/2000, episode end value: 47860.15, duration: 0:00:00.779781
episode: 274/2000, episode end value: 50232.34, duration: 0:00:00.811530
episode: 275/2000, episode end value: 46830.06, duration: 0:00:00.814209
episode: 276/2000, episode end value: 47160.31, duration: 0:00:00.810579
episode: 277/2000, episode end value: 48908.39, duration: 0:00:00.789567
episode: 278/2000, episode end value: 45169.45, duration: 0:00:00.770495
episode: 279/2000, episode end value: 44579.40, duration: 0:00:00.786898
episode: 280/2000, episode end value: 43248.02, duration: 0:00:00.776400
episode: 281/2000, episode end value: 46718.46, duration: 0:00:00.794887
episode: 282/2000, episode end value: 39452.98, duration: 0:00:00.767455
episode: 283/2000, episode end value: 45407.15, duration: 0:00:00.772515
episode: 284/2000, episode end value: 45169.75, duration: 0:00:00.773199
episode: 285/2000, episode end value: 46885.41, duration: 0:00:00.765850
episode: 286/2000, episode end value: 43473.88, duration: 0:00:00.775918
episode: 287/2000, episode end value: 42565.50, duration: 0:00:00.770544
episode: 288/2000, episode end value: 47459.31, duration: 0:00:00.792283
episode: 289/2000, episode end value: 49788.43, duration: 0:00:00.792469
episode: 290/2000, episode end value: 47071.81, duration: 0:00:00.789498
episode: 291/2000, episode end value: 45157.83, duration: 0:00:00.766407
episode: 292/2000, episode end value: 49559.68, duration: 0:00:00.790336
episode: 293/2000, episode end value: 52113.56, duration: 0:00:00.800725
episode: 294/2000, episode end value: 52248.95, duration: 0:00:00.781279
episode: 295/2000, episode end value: 44789.67, duration: 0:00:00.768885
episode: 296/2000, episode end value: 49584.98, duration: 0:00:00.804482
episode: 297/2000, episode end value: 41808.85, duration: 0:00:00.768204
episode: 298/2000, episode end value: 43270.80, duration: 0:00:00.772337
episode: 299/2000, episode end value: 51276.38, duration: 0:00:00.786219
episode: 300/2000, episode end value: 48657.42, duration: 0:00:00.802153
episode: 301/2000, episode end value: 44277.43, duration: 0:00:00.772433
episode: 302/2000, episode end value: 46330.03, duration: 0:00:00.768745
episode: 303/2000, episode end value: 49241.49, duration: 0:00:00.771309
episode: 304/2000, episode end value: 41774.42, duration: 0:00:00.764067
episode: 305/2000, episode end value: 44970.86, duration: 0:00:00.768881
episode: 306/2000, episode end value: 49176.47, duration: 0:00:00.796286
episode: 307/2000, episode end value: 45167.32, duration: 0:00:00.794127
episode: 308/2000, episode end value: 44346.52, duration: 0:00:00.790349
episode: 309/2000, episode end value: 50287.00, duration: 0:00:00.798892
episode: 310/2000, episode end value: 40763.18, duration: 0:00:00.767250
episode: 311/2000, episode end value: 43967.74, duration: 0:00:00.773893
episode: 312/2000, episode end value: 38869.75, duration: 0:00:00.809972
episode: 313/2000, episode end value: 47541.45, duration: 0:00:00.786360
episode: 314/2000, episode end value: 41831.79, duration: 0:00:00.787016
episode: 315/2000, episode end value: 53413.70, duration: 0:00:00.792834
episode: 316/2000, episode end value: 48079.74, duration: 0:00:00.799273
episode: 317/2000, episode end value: 48070.02, duration: 0:00:00.800616
episode: 318/2000, episode end value: 50074.51, duration: 0:00:00.782143
episode: 319/2000, episode end value: 43944.79, duration: 0:00:00.765930
episode: 320/2000, episode end value: 46940.90, duration: 0:00:00.811092
episode: 321/2000, episode end value: 42707.34, duration: 0:00:00.795365
episode: 322/2000, episode end value: 46195.23, duration: 0:00:00.781187
episode: 323/2000, episode end value: 42174.20, duration: 0:00:00.784936
episode: 324/2000, episode end value: 42783.39, duration: 0:00:00.884900
episode: 325/2000, episode end value: 42841.79, duration: 0:00:00.781655
episode: 326/2000, episode end value: 42576.15, duration: 0:00:00.761309
episode: 327/2000, episode end value: 46092.10, duration: 0:00:00.767796
episode: 328/2000, episode end value: 43190.51, duration: 0:00:00.776987
episode: 329/2000, episode end value: 43762.83, duration: 0:00:00.766687
episode: 330/2000, episode end value: 45037.79, duration: 0:00:00.767057
episode: 331/2000, episode end value: 45449.63, duration: 0:00:00.768943
episode: 332/2000, episode end value: 44101.56, duration: 0:00:00.768514
episode: 333/2000, episode end value: 47182.95, duration: 0:00:00.768096
episode: 334/2000, episode end value: 47755.71, duration: 0:00:00.768045
episode: 335/2000, episode end value: 43616.65, duration: 0:00:00.762975
episode: 336/2000, episode end value: 47670.20, duration: 0:00:00.768127
episode: 337/2000, episode end value: 47566.60, duration: 0:00:00.780807
episode: 338/2000, episode end value: 46812.14, duration: 0:00:00.770555
episode: 339/2000, episode end value: 49423.37, duration: 0:00:00.786638
episode: 340/2000, episode end value: 48279.84, duration: 0:00:00.798488
episode: 341/2000, episode end value: 44475.31, duration: 0:00:00.770731
episode: 342/2000, episode end value: 42502.07, duration: 0:00:00.781825
episode: 343/2000, episode end value: 46195.02, duration: 0:00:00.770732
episode: 344/2000, episode end value: 43431.77, duration: 0:00:00.762563
episode: 345/2000, episode end value: 43374.71, duration: 0:00:00.762575
episode: 346/2000, episode end value: 43427.94, duration: 0:00:00.783751
episode: 347/2000, episode end value: 43540.50, duration: 0:00:00.780565
episode: 348/2000, episode end value: 51045.27, duration: 0:00:00.787527
episode: 349/2000, episode end value: 46475.70, duration: 0:00:00.785833
episode: 350/2000, episode end value: 46175.25, duration: 0:00:00.847955
episode: 351/2000, episode end value: 52717.48, duration: 0:00:00.943452
episode: 352/2000, episode end value: 45378.53, duration: 0:00:00.942094
episode: 353/2000, episode end value: 41283.39, duration: 0:00:00.916779
episode: 354/2000, episode end value: 44469.51, duration: 0:00:00.908027
episode: 355/2000, episode end value: 44514.12, duration: 0:00:00.916337
episode: 356/2000, episode end value: 43838.07, duration: 0:00:00.920982
episode: 357/2000, episode end value: 44300.93, duration: 0:00:00.925837
episode: 358/2000, episode end value: 43594.11, duration: 0:00:00.909432
episode: 359/2000, episode end value: 43953.27, duration: 0:00:00.916440
episode: 360/2000, episode end value: 41043.47, duration: 0:00:00.891501
episode: 361/2000, episode end value: 43933.62, duration: 0:00:00.909281
episode: 362/2000, episode end value: 47749.27, duration: 0:00:00.841482
episode: 363/2000, episode end value: 47004.61, duration: 0:00:00.809990
episode: 364/2000, episode end value: 44923.84, duration: 0:00:00.789680
episode: 365/2000, episode end value: 39278.23, duration: 0:00:00.789379
episode: 366/2000, episode end value: 42583.14, duration: 0:00:00.779768
episode: 367/2000, episode end value: 43028.05, duration: 0:00:00.777922
episode: 368/2000, episode end value: 45891.15, duration: 0:00:00.780709
episode: 369/2000, episode end value: 47507.22, duration: 0:00:00.776412
episode: 370/2000, episode end value: 58517.47, duration: 0:00:00.801272
episode: 371/2000, episode end value: 39137.51, duration: 0:00:00.801413
episode: 372/2000, episode end value: 50235.51, duration: 0:00:00.802115
episode: 373/2000, episode end value: 53769.94, duration: 0:00:00.808038
episode: 374/2000, episode end value: 50560.72, duration: 0:00:00.795107
episode: 375/2000, episode end value: 46497.49, duration: 0:00:00.792976
episode: 376/2000, episode end value: 47678.91, duration: 0:00:00.782849
episode: 377/2000, episode end value: 41815.51, duration: 0:00:00.792536
episode: 378/2000, episode end value: 51782.86, duration: 0:00:00.798335
episode: 379/2000, episode end value: 43908.37, duration: 0:00:00.768542
episode: 380/2000, episode end value: 48076.78, duration: 0:00:00.764794
episode: 381/2000, episode end value: 44045.57, duration: 0:00:00.773110
episode: 382/2000, episode end value: 45025.32, duration: 0:00:00.766346
episode: 383/2000, episode end value: 45908.30, duration: 0:00:00.777478
episode: 384/2000, episode end value: 54029.40, duration: 0:00:00.791961
episode: 385/2000, episode end value: 51571.46, duration: 0:00:00.781371
episode: 386/2000, episode end value: 47232.64, duration: 0:00:00.797013
episode: 387/2000, episode end value: 50687.98, duration: 0:00:00.812428
episode: 388/2000, episode end value: 46365.59, duration: 0:00:00.807223
episode: 389/2000, episode end value: 48633.30, duration: 0:00:00.808885
episode: 390/2000, episode end value: 49308.36, duration: 0:00:00.781742
episode: 391/2000, episode end value: 45962.26, duration: 0:00:00.792749
episode: 392/2000, episode end value: 57862.01, duration: 0:00:00.804190
episode: 393/2000, episode end value: 53964.19, duration: 0:00:00.789132
episode: 394/2000, episode end value: 49376.85, duration: 0:00:00.791156
episode: 395/2000, episode end value: 47938.72, duration: 0:00:00.809702
episode: 396/2000, episode end value: 48295.61, duration: 0:00:00.805015
episode: 397/2000, episode end value: 51279.58, duration: 0:00:00.791337
